Examiner_ID	Pair_ID	Mating	Latent_Value	Compare_Value	Inconclusive_Reason	Exclusion_Reason	Difficulty
A5104	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1125	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0194	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0284	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6389	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5417	N057413	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A4459	N057413	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A2009	N057413	Non-mates	VID	Inconclusive	Close	NA	C_Medium
A3021	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4029	N057413	Non-mates	VID	Inconclusive	Overlap	NA	C_Medium
A2036	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5041	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2063	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3073	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2090	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1107	N057413	Non-mates	VID	Exclusion	NA	Pattern	C_Medium
A2178	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5221	N057413	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A2243	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2268	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6328	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1339	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0356	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0473	N057413	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5478	N057413	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3102	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4128	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0284	N035010	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A2295	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1323	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1438	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6490	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1053	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4065	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1078	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6157	N035010	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A4218	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5219	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4281	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5311	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2367	N035010	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A3370	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1375	N035010	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A0403	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1404	N035010	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A3476	N035010	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3055	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2079	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3091	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
